,weight 1,weight 2,bias1,bias2,learning rate,accuracy
2047,"[[6.12216553 2.24761602]
 [1.53582332 3.59097333]
 [4.63153055 7.02721859]]",[[ 9.16294801  1.38019661 -7.7827567 ]],"[[-6.40341859]
 [-0.41834787]
 [-0.68674703]]",[[4.08821912]],0.15837678509118214,97
4032,"[[ 8.61807121 -7.06583127]
 [-5.0528687   0.04933167]
 [ 5.07132176  2.06651857]]",[[-6.21247732  5.75337039  4.42429374]],"[[ 3.93075063]
 [ 6.76150473]
 [-2.85898977]]",[[-3.74984157]],0.6125720839984716,97
6260,"[[-9.95414246 -8.28412845]
 [-2.87610782 -1.73115409]
 [ 8.26993399 -8.96899352]]",[[-2.17564539 -2.25727964  6.01417984]],"[[ 1.79061217]
 [ 7.52350329]
 [-2.56448427]]",[[8.24514841]],3.382492357608159,97
5639,"[[ 6.66537073  4.1663489 ]
 [ 0.94681739 -4.42814986]
 [-5.70558963 -1.16843555]]",[[-2.22271538  6.08772845  6.11286579]],"[[5.10820849]
 [0.83045077]
 [4.70160022]]",[[-3.25278885]],1.4002406920842214,96
7895,"[[-1.78419247 -7.15917394]
 [-1.4235388   4.939499  ]
 [ 7.80523134 -9.89127072]]",[[ 7.7765962  -5.5597921   6.88974619]],"[[6.48464804]
 [6.28242484]
 [7.59320799]]",[[-2.55169393]],2.2438005771548273,96
1769,"[[-1.09550092 -3.54838079]
 [ 1.27737941  7.88713437]
 [-8.30179183 -9.96163298]]",[[ 9.30954395  4.45746359 -0.0418935 ]],"[[ 3.36337479]
 [-1.99732944]
 [ 9.59070806]]",[[-8.18490117]],6.38486666306002,95
8085,"[[ 8.47273483 -6.61381527]
 [-8.0076442  -0.35039051]
 [-8.62338883 -6.81891379]]",[[6.58522182 1.42012188 3.05544776]],"[[ 7.26462769]
 [ 6.99342494]
 [-8.1809235 ]]",[[-5.49643214]],1.2701818252792907,95
3655,"[[ 5.43942482  5.93975933]
 [-4.05297376 -7.84133989]
 [ 8.11925694 -2.53573071]]",[[7.80907455 8.83143317 8.8871806 ]],"[[-9.77249549]
 [ 1.07708979]
 [ 0.98751202]]",[[-6.41522329]],2.400543974690547,95
8732,"[[-4.46446146  0.01343477]
 [ 6.08954639  0.21989122]
 [ 0.16692951  3.90686808]]",[[-6.43741713  4.55624624 -8.62222783]],"[[ 3.30066474]
 [-7.15305206]
 [-8.32856925]]",[[8.73825867]],5.108174619794656,95
4541,"[[-3.30588798  0.18722644]
 [-7.45150913  7.18329005]
 [ 4.97022655 -6.4538335 ]]",[[ 2.96453174 -8.92493943 -4.67253562]],"[[ 1.87830145]
 [ 7.01821187]
 [-9.48462283]]",[[-0.42210831]],2.6411810663883486,95
9481,"[[-5.75328208 -1.82041643]
 [ 6.9450188  -9.40614002]
 [-8.09146335  7.74692727]]",[[2.58254442 9.4954734  8.8251896 ]],"[[-6.04823261]
 [-2.24115887]
 [ 8.39910536]]",[[1.58510201]],1.0566549187280616,95
5492,"[[-2.79973522  9.22583747]
 [ 8.58437725 -4.6848618 ]
 [ 2.18149158 -5.17958328]]",[[0.50350506 9.29577131 3.14625257]],"[[ 2.51024104]
 [-8.95764019]
 [-8.65441306]]",[[-9.2136392]],0.5799467192577412,95
8427,"[[-4.68243107  6.18762305]
 [-4.60496097  0.80841493]
 [ 3.50116098  9.01535062]]",[[ 8.19916498 -9.33582132 -5.33619177]],"[[ 6.96762651]
 [ 2.11757558]
 [-6.51518893]]",[[-8.70565284]],6.762155804597423,94
6562,"[[-7.79286697  8.47383559]
 [-3.96806662 -6.7018922 ]
 [-0.8648597  -5.8610189 ]]",[[-4.65328782  4.88294267  4.64252324]],"[[ 1.75723398]
 [ 0.66891619]
 [-9.91936535]]",[[5.30930077]],7.501703974510053,94
