,weight 1,weight 2,bias1,bias2,learning rate,accuracy
3082,[[-2.96390212 -5.82682246]],[[2.27634008]],[[4.519721]],[[-0.10597519]],5.648027288108266,84
600,[[-3.83010105  8.57356226]],[[-8.98780171]],[[3.35251704]],[[0.21385738]],4.0111065739016265,84
3215,[[ 1.1903503  -8.73527444]],[[-3.1963702]],[[4.28924179]],[[-1.79510828]],0.23349312777580455,84
4170,[[-1.45249141  6.70900653]],[[-9.65895469]],[[-4.73468256]],[[-9.34789728]],5.527129043057578,84
6064,[[-0.43353658 -8.75737945]],[[-8.69304086]],[[5.5448559]],[[-2.81301304]],1.761184842210729,84
6074,[[-3.42838566  4.03702658]],[[-4.82259444]],[[-6.96906417]],[[-7.63165976]],3.666236906242194,84
4238,[[ 0.17318336 -1.59874483]],[[7.58203181]],[[1.1224011]],[[4.82462963]],0.53710956474746,84
926,[[-6.083916   -6.20094252]],[[-4.49774963]],[[-3.06074041]],[[-2.6938429]],0.4940302369439209,84
2039,[[ 0.04452866 -8.16766923]],[[-9.5790518]],[[1.8855826]],[[-5.49187746]],7.317231333267291,84
5818,[[-9.16105004 -0.39031494]],[[-8.59943327]],[[1.99529504]],[[0.25508453]],4.2810856790345975,84
5450,[[ 2.09643007 -1.64936754]],[[6.92195936]],[[-1.96634794]],[[-1.50499758]],8.007239015498804,84
3022,[[-9.09097291 -6.22975439]],[[-9.75399891]],[[9.95008834]],[[-3.07056116]],4.834078712244895,84
5457,[[4.99672933 3.86702887]],[[-5.73213379]],[[-1.43991922]],[[-2.19172714]],4.320855334019647,84
9550,[[ 2.19189361 -4.735056  ]],[[-2.17894724]],[[0.05300235]],[[-8.21244899]],3.9363435189668152,84
9312,[[6.28845297 4.3950971 ]],[[-4.95651546]],[[-4.17792968]],[[-0.31084479]],5.298503988328418,84
7142,[[6.66164502 2.07665516]],[[-5.52422068]],[[-7.13883312]],[[-2.31334817]],1.7167213510738588,84
4266,[[-1.49447467  6.06397667]],[[-3.6400329]],[[-9.96346203]],[[5.11782624]],7.560727460722749,84
7174,[[-2.7842531   2.28149858]],[[-7.78791196]],[[4.67229582]],[[-1.72275874]],5.621726060532906,84
1282,[[ 9.52186305 -4.30487385]],[[-8.12566037]],[[-8.88798117]],[[0.04439048]],4.24686486289302,84
5023,[[2.16794846 7.58333853]],[[-8.6976599]],[[-2.02655114]],[[-5.64459225]],9.530302965510113,84
4717,[[3.60105088 7.45099972]],[[-3.1102198]],[[-1.89395659]],[[-3.14291564]],5.6206850604665695,84
9259,[[-4.08801701 -9.0502586 ]],[[-5.24957315]],[[9.18585774]],[[-3.2874194]],4.255069985077319,84
1531,[[-3.01122329  8.39885765]],[[-3.12432043]],[[-5.88118611]],[[-6.26965593]],2.6781302526852713,84
7095,[[-1.40837019 -6.92815267]],[[-5.20889977]],[[3.07969149]],[[-4.1917541]],1.6940345913213228,84
